StateAbbr,PlaceName,PlaceFIPS,Geo_FIPS,Place_TractID,ACCESS2_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,Geolocation,StateDesc,CountyName,CountyFIPS_x,TotalPopulation,CERVICAL_CrudePrev,Year,lat,lon,pop_ct,Geo_FIPS_TractLvl,StateFIPS,CountyFIPS_y,TractFIPS,TotalPopEst2015_19ACS,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17
PA,,,42003471000.0,,9.3,32.2,77.6,10.2,7.4,78.3,85.6,8.1,41.2,22.1,10.6,35.0,34.2,POINT (-80.09217953 40.39156486),Pennsylvania,Allegheny,42003.0,1244.0,84.7,2017,OINT (-80.0921,53 40.39156486,,42003471000,42,3,471000,1271.0,10.2,202.0,29.0,38.0,14.0,7.0,8.0,2.0,6.0,50.0,33.0,7.0
PA,,,42003471000.0,,9.3,32.2,77.6,10.2,7.4,78.3,85.6,8.1,41.2,22.1,10.6,35.0,34.2,POINT (-80.09217953 40.39156486),Pennsylvania,Allegheny,42003.0,1244.0,84.7,2018,OINT (-80.0921,53 40.39156486,,42003471000,42,3,471000,1271.0,10.2,202.0,32.0,48.0,27.0,9.0,5.0,1.0,4.0,61.0,51.0,8.0
PA,,,42003471000.0,,9.3,32.2,77.6,10.2,7.4,78.3,85.6,8.1,41.2,22.1,10.6,35.0,34.2,POINT (-80.09217953 40.39156486),Pennsylvania,Allegheny,42003.0,1244.0,84.7,2019,OINT (-80.0921,53 40.39156486,,42003471000,42,3,471000,1271.0,10.2,202.0,30.0,35.0,18.0,4.0,4.0,1.0,4.0,62.0,37.0,7.0
PA,,,42003472100.0,,7.5,24.6,72.5,9.6,4.8,76.5,84.6,5.2,45.1,17.0,7.2,29.2,29.8,POINT (-80.03585371 40.39910156),Pennsylvania,Allegheny,42003.0,2524.0,86.4,2016,OINT (-80.0358,71 40.39910156,,42003472100,42,3,472100,2219.0,21.2,335.0,71.0,106.0,35.0,24.0,10.0,2.0,10.0,115.0,99.0,10.0
PA,,,42003472100.0,,7.5,24.6,72.5,9.6,4.8,76.5,84.6,5.2,45.1,17.0,7.2,29.2,29.8,POINT (-80.03585371 40.39910156),Pennsylvania,Allegheny,42003.0,2524.0,86.4,2017,OINT (-80.0358,71 40.39910156,,42003472100,42,3,472100,2219.0,21.2,335.0,59.0,90.0,38.0,19.0,17.0,4.0,10.0,130.0,104.0,13.0
PA,,,42003472100.0,,7.5,24.6,72.5,9.6,4.8,76.5,84.6,5.2,45.1,17.0,7.2,29.2,29.8,POINT (-80.03585371 40.39910156),Pennsylvania,Allegheny,42003.0,2524.0,86.4,2018,OINT (-80.0358,71 40.39910156,,42003472100,42,3,472100,2219.0,21.2,335.0,74.0,102.0,44.0,21.0,13.0,1.0,9.0,147.0,120.0,14.0
PA,,,42003472100.0,,7.5,24.6,72.5,9.6,4.8,76.5,84.6,5.2,45.1,17.0,7.2,29.2,29.8,POINT (-80.03585371 40.39910156),Pennsylvania,Allegheny,42003.0,2524.0,86.4,2019,OINT (-80.0358,71 40.39910156,,42003472100,42,3,472100,2219.0,21.2,335.0,72.0,107.0,52.0,23.0,19.0,1.0,14.0,142.0,115.0,13.0
PA,,,42003472200.0,,6.7,23.9,72.5,9.0,4.5,76.5,85.5,4.6,47.8,15.1,6.6,28.9,28.4,POINT (-80.0414573 40.39457919),Pennsylvania,Allegheny,42003.0,2227.0,87.2,2016,OINT (-80.0414,73 40.39457919,,42003472200,42,3,472200,2323.0,10.6,312.0,32.0,48.0,18.0,8.0,6.0,1.0,2.0,113.0,99.0,14.0
PA,,,42003472200.0,,6.7,23.9,72.5,9.0,4.5,76.5,85.5,4.6,47.8,15.1,6.6,28.9,28.4,POINT (-80.0414573 40.39457919),Pennsylvania,Allegheny,42003.0,2227.0,87.2,2017,OINT (-80.0414,73 40.39457919,,42003472200,42,3,472200,2323.0,10.6,312.0,42.0,64.0,29.0,10.0,16.0,3.0,7.0,133.0,115.0,17.0
PA,,,42003472200.0,,6.7,23.9,72.5,9.0,4.5,76.5,85.5,4.6,47.8,15.1,6.6,28.9,28.4,POINT (-80.0414573 40.39457919),Pennsylvania,Allegheny,42003.0,2227.0,87.2,2018,OINT (-80.0414,73 40.39457919,,42003472200,42,3,472200,2323.0,10.6,312.0,45.0,72.0,34.0,10.0,12.0,1.0,9.0,144.0,133.0,18.0
PA,,,42003472200.0,,6.7,23.9,72.5,9.0,4.5,76.5,85.5,4.6,47.8,15.1,6.6,28.9,28.4,POINT (-80.0414573 40.39457919),Pennsylvania,Allegheny,42003.0,2227.0,87.2,2019,OINT (-80.0414,73 40.39457919,,42003472200,42,3,472200,2323.0,10.6,312.0,60.0,84.0,34.0,12.0,6.0,0.0,10.0,170.0,155.0,18.0
PA,,,42003472300.0,,7.8,23.4,70.3,9.7,4.4,75.5,82.6,5.1,44.1,17.7,6.8,28.2,30.3,POINT (-80.03298297 40.39272492),Pennsylvania,Allegheny,42003.0,2014.0,85.2,2016,OINT (-80.0329,97 40.39272492,,42003472300,42,3,472300,2003.0,24.0,286.0,40.0,63.0,24.0,4.0,7.0,0.0,12.0,86.0,67.0,12.0
PA,,,42003472300.0,,7.8,23.4,70.3,9.7,4.4,75.5,82.6,5.1,44.1,17.7,6.8,28.2,30.3,POINT (-80.03298297 40.39272492),Pennsylvania,Allegheny,42003.0,2014.0,85.2,2017,OINT (-80.0329,97 40.39272492,,42003472300,42,3,472300,2003.0,24.0,286.0,32.0,47.0,18.0,6.0,6.0,1.0,4.0,98.0,85.0,13.0
PA,,,42003472300.0,,7.8,23.4,70.3,9.7,4.4,75.5,82.6,5.1,44.1,17.7,6.8,28.2,30.3,POINT (-80.03298297 40.39272492),Pennsylvania,Allegheny,42003.0,2014.0,85.2,2018,OINT (-80.0329,97 40.39272492,,42003472300,42,3,472300,2003.0,24.0,286.0,44.0,59.0,32.0,6.0,6.0,1.0,4.0,95.0,74.0,11.0
PA,,,42003472300.0,,7.8,23.4,70.3,9.7,4.4,75.5,82.6,5.1,44.1,17.7,6.8,28.2,30.3,POINT (-80.03298297 40.39272492),Pennsylvania,Allegheny,42003.0,2014.0,85.2,2019,OINT (-80.0329,97 40.39272492,,42003472300,42,3,472300,2003.0,24.0,286.0,31.0,45.0,24.0,5.0,4.0,0.0,4.0,92.0,77.0,9.0
PA,,,42003472400.0,,6.3,26.0,74.7,9.1,4.9,77.9,86.9,5.0,48.2,15.0,7.2,31.0,28.7,POINT (-80.03815532 40.3879158),Pennsylvania,Allegheny,42003.0,1828.0,87.9,2016,OINT (-80.0381,532 40.3879158,,42003472400,42,3,472400,1828.0,20.200000000000003,331.0,35.0,52.0,25.0,10.0,7.0,1.0,4.0,106.0,94.0,18.0
PA,,,42003472400.0,,6.3,26.0,74.7,9.1,4.9,77.9,86.9,5.0,48.2,15.0,7.2,31.0,28.7,POINT (-80.03815532 40.3879158),Pennsylvania,Allegheny,42003.0,1828.0,87.9,2017,OINT (-80.0381,532 40.3879158,,42003472400,42,3,472400,1828.0,20.200000000000003,331.0,37.0,46.0,17.0,6.0,3.0,0.0,6.0,115.0,95.0,17.0
PA,,,42003472400.0,,6.3,26.0,74.7,9.1,4.9,77.9,86.9,5.0,48.2,15.0,7.2,31.0,28.7,POINT (-80.03815532 40.3879158),Pennsylvania,Allegheny,42003.0,1828.0,87.9,2018,OINT (-80.0381,532 40.3879158,,42003472400,42,3,472400,1828.0,20.200000000000003,331.0,40.0,51.0,25.0,3.0,7.0,1.0,4.0,128.0,114.0,18.0
PA,,,42003472400.0,,6.3,26.0,74.7,9.1,4.9,77.9,86.9,5.0,48.2,15.0,7.2,31.0,28.7,POINT (-80.03815532 40.3879158),Pennsylvania,Allegheny,42003.0,1828.0,87.9,2019,OINT (-80.0381,532 40.3879158,,42003472400,42,3,472400,1828.0,20.200000000000003,331.0,31.0,43.0,19.0,2.0,7.0,1.0,4.0,128.0,121.0,18.0
PA,,,42003473100.0,,5.7,26.6,76.3,9.0,5.1,78.9,88.5,4.8,48.3,12.9,7.4,31.7,28.1,POINT (-80.05043653 40.39273961),Pennsylvania,Allegheny,42003.0,4734.0,88.4,2016,OINT (-80.0504,53 40.39273961,,42003473100,42,3,473100,5024.0,69.2,1305.0,128.0,178.0,70.0,25.0,31.0,5.0,10.0,516.0,464.0,66.0
PA,,,42003473100.0,,5.7,26.6,76.3,9.0,5.1,78.9,88.5,4.8,48.3,12.9,7.4,31.7,28.1,POINT (-80.05043653 40.39273961),Pennsylvania,Allegheny,42003.0,4734.0,88.4,2017,OINT (-80.0504,53 40.39273961,,42003473100,42,3,473100,5024.0,69.2,1305.0,107.0,136.0,46.0,14.0,21.0,2.0,17.0,570.0,506.0,71.0
PA,,,42003473100.0,,5.7,26.6,76.3,9.0,5.1,78.9,88.5,4.8,48.3,12.9,7.4,31.7,28.1,POINT (-80.05043653 40.39273961),Pennsylvania,Allegheny,42003.0,4734.0,88.4,2018,OINT (-80.0504,53 40.39273961,,42003473100,42,3,473100,5024.0,69.2,1305.0,137.0,161.0,68.0,18.0,26.0,3.0,9.0,647.0,593.0,79.0
PA,,,42003473100.0,,5.7,26.6,76.3,9.0,5.1,78.9,88.5,4.8,48.3,12.9,7.4,31.7,28.1,POINT (-80.05043653 40.39273961),Pennsylvania,Allegheny,42003.0,4734.0,88.4,2019,OINT (-80.0504,53 40.39273961,,42003473100,42,3,473100,5024.0,69.2,1305.0,123.0,159.0,60.0,14.0,16.0,2.0,15.0,673.0,598.0,81.0
