,Geo_FIPS,YearOfContactDate,ACCESS2_CrudePrev,"Particulate Matter, Condensable",DIABETES_CrudePrev,Age0to17PopEst2015_19ACS_x,OBESITY_CrudePrev,COPD_CrudePrev,White Population,CSMOKING_CrudePrev,Median Age,Median Income,Carbon Monoxide,Pre1950,BPHIGH_CrudePrev,Black or African American Population,CHOLSCREEN_CrudePrev
131,406000,2019.0,8.0,23.375847776259143,9.9,373.0,31.6,7.3,2298.0,19.5,50.7,68385.0,719.664300285772,0.40628,32.2,0.0,87.3
132,407001,2019.0,8.2,0.0,10.3,999.0,32.2,7.7,5511.0,19.3,49.5,62731.0,0.0,0.285043,31.9,5.0,87.5
133,407002,2019.0,7.3,0.0,9.4,1119.0,31.3,6.8,6217.0,17.9,49.9,72647.0,0.0,0.228315,31.2,59.0,87.6
134,408001,2019.0,6.4,0.0,9.3,1338.0,28.9,6.3,5319.0,14.4,49.3,85679.0,0.0,0.222542,32.9,18.0,88.9
135,408002,2019.0,5.8,0.0,7.1,1481.0,28.8,4.7,5737.0,14.0,41.9,115962.0,0.0,0.079481,26.7,40.0,88.0
136,409000,2019.0,4.6,0.0,6.2,3861.0,27.7,3.6,12171.0,11.2,38.8,153302.0,0.0,0.123176,23.6,126.0,89.1
137,410000,2019.0,4.8,0.0,8.6,270.0,28.6,5.3,1169.0,11.9,47.4,114063.0,0.0,0.221154,30.4,4.0,91.0
138,411000,2019.0,5.3,0.0,7.4,2595.0,28.3,4.5,7794.0,12.6,41.3,135208.0,0.0,0.099735,26.1,176.0,89.6
139,412001,2019.0,5.2,0.0,7.3,2779.0,27.2,4.2,7196.0,12.0,41.9,121343.0,0.0,0.050155,25.2,358.0,89.9
140,412002,2019.0,5.0,0.0,7.6,1326.0,27.7,4.5,4621.0,12.0,44.0,152262.0,0.0,0.098369,26.7,18.0,90.3
141,413100,2019.0,5.7,0.0214624586922544,8.2,1323.0,28.3,5.0,5195.0,13.1,49.1,106389.0,6.385081460945691,0.064144,27.6,103.0,88.9
142,413201,2019.0,5.9,0.022577781264146,8.0,705.0,28.5,5.2,3468.0,13.8,43.1,86331.0,6.716889926083447,0.09375,28.2,40.0,88.4
143,413202,2019.0,6.0,0.0165916843058692,8.7,631.0,29.6,5.8,2627.0,14.5,45.9,84077.0,4.936026080996114,0.150988,30.4,0.0,89.3
144,413300,2019.0,6.3,0.0184316481514581,8.9,798.0,28.5,5.9,3983.0,14.2,48.3,81353.0,5.483415325058799,0.098182,31.5,116.0,89.2
145,413400,2019.0,5.7,0.02729886142594,8.9,1108.0,28.8,5.6,4251.0,13.6,43.8,100804.0,8.12141127421716,0.056771,30.0,23.0,90.1
146,413500,2019.0,6.9,0.02,8.2,980.0,27.2,5.5,5672.0,13.7,36.5,69889.0,5.95,0.033322,28.4,446.0,86.7
147,414101,2019.0,5.9,0.0,8.0,1244.0,29.4,5.3,4922.0,14.8,44.7,103819.0,0.0,0.037506,28.3,114.0,88.6
148,414102,2019.0,6.7,0.019410583992868,9.2,1591.0,29.4,6.2,6532.0,14.7,44.9,84625.0,5.774648737878233,0.145729,30.8,142.0,89.1
149,414200,2019.0,6.1,0.0136219727014976,9.0,1390.0,29.8,6.0,5577.0,14.8,47.4,85703.0,4.052536878695555,0.178646,30.1,121.0,89.4
150,415001,2019.0,6.7,1.694726431493866,8.3,1048.0,28.9,5.5,4162.0,15.0,43.7,101136.0,22.601351612931477,0.283491,29.3,93.0,87.9
151,415002,2019.0,5.7,1.442213753434375,9.1,579.0,28.9,5.6,2421.0,13.4,48.2,107132.0,19.23377103031508,0.297753,30.7,12.0,90.1
152,416000,2019.0,8.1,115.15829248422423,11.4,166.0,32.9,8.6,1544.0,19.6,55.2,49886.0,291.41785946278145,0.265957,35.9,0.0,87.6
153,417100,2019.0,7.6,236.10309415790428,9.5,385.0,31.4,7.1,1950.0,18.4,42.8,59194.0,578.0245206826345,0.515152,31.7,0.0,86.9
154,417200,2019.0,9.1,89.49116418292921,10.3,238.0,33.3,8.1,1278.0,21.8,45.9,43864.0,228.8799506519852,0.479256,31.8,7.0,84.6
155,418000,2019.0,6.8,115.48360527785324,10.4,241.0,30.1,7.3,1687.0,15.8,51.6,62500.0,297.44274194289903,0.334906,34.4,1.0,89.4
156,419000,2019.0,7.8,55.30157518992185,11.7,360.0,30.5,8.4,2978.0,16.4,58.0,57260.0,156.34046472431135,0.299197,38.1,36.0,88.9
157,420000,2019.0,9.6,0.0,12.3,314.0,34.1,9.1,1072.0,21.3,42.8,39091.0,0.5425555492225611,0.489535,34.0,168.0,86.1
158,421100,2019.0,5.8,1.444468608753379,10.0,1024.0,27.8,6.1,3925.0,12.4,48.3,97000.0,19.80003457203988,0.218182,33.5,35.0,90.7
159,421200,2019.0,5.9,0.2248502623849423,9.3,908.0,29.5,5.9,3919.0,14.0,48.9,96886.0,1.5615652277568055,0.258378,30.7,31.0,89.7
160,422000,2019.0,4.1,1.5102535297867563,8.6,1457.0,26.8,4.5,4652.0,9.6,49.1,205987.0,20.440842335160163,0.271693,30.2,0.0,92.4
161,423000,2019.0,5.9,0.235845536800715,7.2,666.0,27.7,4.6,2394.0,12.9,37.3,84375.0,3.340588226981088,0.511173,25.9,37.0,87.7
162,424000,2019.0,11.1,0.2975010413457973,11.2,550.0,34.3,8.8,2938.0,23.1,42.5,36360.0,3.797796512320685,0.552391,33.1,282.0,83.7
163,425000,2019.0,10.1,0.3880969995671821,10.2,688.0,34.7,8.3,3107.0,23.9,34.9,49432.0,4.597458751239446,0.621835,30.0,21.0,83.3
164,426300,2019.0,6.3,0.0148046628974635,8.8,1142.0,28.9,6.0,5810.0,14.6,47.1,82569.0,4.4043872119953935,0.256132,30.7,14.0,88.9
