Year,TRACTCE,"1,1,2-Trichloroethane","1,1,2,2-Tetrachloroethane","1,2-Ethanediol (Ethylene Glycol)","1,3-Butadiene","1,4-Dichlorobenzene","1,4-Dioxane (1,4-Diethyleneoxide)","2,2,4-Trimethylpentane",Acetaldehyde,Acrolein,Acrylic Acid,Acrylonitrile,Antimony,Arsenic,Benzene,Benzyl Chloride,Cadmium,Carbon Disulfide,Carbon Tetrachloride,Chlorine,Chlorobenzene,Chloroethene (vinyl chloride),Chloroform,Chromium,Cobalt,Cresols/Cresylic Acid (Isomers And Mixture),Cumene,Cyanides,Dibutylphthalate,Diethanolamine,"Epichlorohydrin (1-Chloro-2,3-Epoxypropane)",Ethyl Chloride (Chloroethane),Ethylbenzene,"Ethylene Dichloride (1,2-Dichloroethane)",Ethylene Oxide,"Ethylidene Dichloride (1,1-Dichloroethane)",Formaldehyde,Glycol Ethers,Hexane,Hexavalent Chromium,Hydrochloric Acid,Hydrogen Fluoride (Hydrofluoric Acid),Isophorone,Lead,m-Xylene,Maleic Anhydride,Manganese,Mercury,Methanol,Methyl Chloride (Chloromethane),"Methyl Chloroform (1,1,1-Trichloroethane)",Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),Methyl Methacrylate,Methylene Chloride (Dichloromethane),Naphthalene,Nickel,o-Xylene,Phenol,Phosphorus,Phthalic Anhydride,Polycyclic Organic Matter,Propionaldehyde,Propylene Dichloride,Propylene Oxide,Selenium,Styrene,Tetrachloroethylene (Perchloroethylene),Toluene,Trichloroethylene,"Vinylidene Chloride (1,1-Dichloroethylene)",Xylenes (Isomers And Mixture),Grand Total
2019,448000,,,,,0.02,,,,,,,,0,0.19,,0,,,,,,,0.01,,,,,,,,,,,,,0.04,,0.36,,,,,0.0496,,,0.01,0.0001,,,,,,,0.17,0,0.31,,,,,,,,,,,0.03,,,,1.1897
2019,451102,,,,,,,0.45,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,0.34,,,,,,,,,,,,,,,,0,,,,,,,0.93,,,0.11,3.15
2019,451300,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,0.06,,,,,,,,,,0,0,0,0,,0,,,,0,,,,,,,,0,,0.04,,,0.04,0.14
2019,452000,,0.11,0.01,,,,,,,,0.19,,,0.08,,,,,,,0.26,,,,,,,,,,0.05,,0.02,,0.13,,0.12,0.32,,3.16,,,0.1566,,,,,2.16,,,0.11,,0.73,0.15,,,,,,,,,,,0.02,0.35,2.4,0.28,,0.81,11.6166
2019,458000,,,,,,,,0.26,,,,,,0.32,,,,,,,,,0.13,,,,,,,,,0.14,,,,0.63,,0.64,,,,,0.0024,,,0.16,,,,,,,,,0.07,,,,,,0.02,,,,,,0.2,,,0.04,2.6124
2019,460002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
2019,461000,,,0.23,0,,,0.13,,,,,,,0.5,,0,0,,0,,,,0,,,,,,,,,0.02,,,,1.06,,1.23,,0.32,0.03,,0.0013,0.11,0.66,,0.0002,,,,,0.74,,0.22,0,,,,0.85,,,,,,6.02,,1.15,,,1.49,14.7615
2019,462100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3901
2019,488600,,,0.06,,,,,,,,,,,0.16,,,0.29,,0.63,,,,,,,,,,,,,,,,,,0.1,1.61,,44.58,,,0.0004,,,,,0,,,,,,,,,,,,,,,,,30.28,,0.55,,,0.02,78.2804
2019,491200,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0,,0,,0.11,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.01,,,0.01,0.16
2019,492700,,0.13,0.07,,,0.32,,,0.19,,,0.05,0,14.19,,0,15.65,,1.12,,,,1.88,0,1.4,,,,,,,,,,,,0.73,6.05,,85.34,,,0.0247,,,0,0.0009,48.37,3.08,,,0.36,,3.84,0.24,,20.77,,,0.28,,,,,0.1,,3.76,,,0.17,208.1156
2019,495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,0.49,,,0.17,0.98
2019,496101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019,499400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.01,,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,,2.42
2019,504100,,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,13.21,,,,,,,,,,,,,,,,,,,,,,,13.51
2019,512800,,,0.06,,,,,,,,,,,0.05,,,0.1,,0.16,,,,0.03,,,,,,,,,,,,,,0.1,1.72,,12.22,,,0.2189,,,1.43,0.0003,23.25,,,,,,,0,,1.39,0.53,,,,,,,,,0.01,,,0.02,41.2892
2019,515100,,,,,,,,,,,,0,0,,,0,,,,,,,0,,,,,,,,,,,,,0,0.01,0.05,,,,,0.0009,,,,,0.03,,,,,,,0,,,,,,,,,0,,,,,,,0.0909
2019,521302,,,,,,,,,,,0.15,,,,,,,,,,0.22,,,,,,,,,,,,,,0.11,,,0.27,,1.03,,,,,,,,,,,,,0.57,,,,,,,,,,,,,0.29,1.69,0.18,,0.6,5.11
2019,521500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.06,,0.05,,,,,,,,0.15,,,,,1.21,,,,,,,,,,,,,,3.96,0.08,,,5.51
2019,524000,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,0.59,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,1.94,5.08
2019,526302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93
2019,562700,,,,,,,,,,,,,0,0,,0,,,,,,,0,,,,,,,,,,,,,0.03,,0.58,,,,,0.0002,,,0,0.0001,,,,,,,0,0,,,,,,,,,,,,0,,,,0.6103
2019,562900,,,,,0,,,,,,,,,0,,0,,,,,,,0,,,,,,,,,,,,,0.01,,0.4,,,,,0.0001,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,0.4101
2019,564500,,,,,,,,,,,,,,0,,0,,,0,,,,0,,,,,,,,,,,,,0.02,,0.58,,0.13,,,0.0004,,,,,,,,,,,0,0,,,,,,,,,,6.71,,29.71,,,0.47,37.6204
2019,980800,,,,,,,,,,,,0,,0.14,,0,,,,,,,0,,,,,,,,,0.03,,,,1.11,,0.59,,,,,0.0006,,,,,,,,,,,,0,,,,,,,,,,,,0.02,,,0.04,1.9306
2019,980900,0.06,,,,0.42,,,0.02,0,,,,,0.03,,,0.29,,,0.01,,0.49,,,,,,,,,,0.01,0.01,,,0.31,,0,0,0.02,,,,0,,0,0.0012,,0,0.09,,,0.38,0.23,0,,,,,0,,,0,,0.01,0.38,0.72,0.06,,1,4.5412
2019,982200,,,,,,,,,,,,,0,0,,0,,,,,,,0,,,,,,,,,,,,,0.03,,0.89,,,,,0.0002,,,0,0.0001,,,,,,,0,0,,,,,,,,,,,,0,,,,0.9203
